"id","collection_run_id","webcam_id","timestamp","image_filename","fog_score","fog_level","confidence","reasoning","visibility_estimate","weather_conditions","status","error_message","cloud_storage_path","created_at"
"2","3","caltrans-i80-us101","2025-08-28T22:00:06.937025Z","caltrans-i80-us101_test.jpg","35","Moderate Fog","0.92","Visible fog covering lower areas","Moderate","[""fog"", ""overcast""]","success","","gs://karlcam-fog-data/images/caltrans-i80-us101_test.jpg","2025-08-28T22:00:07.389775Z"
"3","4","caltrans-i80-us101","2025-08-28T22:16:48.510285Z","caltrans-i80-us101_20250828_221648.jpg","0","Clear","1","The image shows clear visibility.  There is no haze, mist, or reduction in visibility due to fog.  Objects are clearly visible at a significant distance.",">10000","[""Clear""]","success","","gs://karlcam-fog-data/images/caltrans-i80-us101_20250828_221648.jpg","2025-08-28T22:16:54.279146Z"
"4","4","marina-district","2025-08-28T22:16:54.537008Z","marina-district_20250828_221654.jpg","5","Clear","0.9","The image shows a clear view of the water and the distant hills. There is no noticeable haze or reduction in visibility.  The sky is also relatively clear.  There's a slight haziness in the distance, but it's not significant enough to be classified as fog.","10000+","[""Clear"", ""Slight Haziness""]","success","","gs://karlcam-fog-data/images/marina-district_20250828_221654.jpg","2025-08-28T22:17:01.361766Z"
"5","4","pacifica-pier","2025-08-28T22:17:01.62038Z","pacifica-pier_20250828_221701.jpg","5","Clear","0.95","The image shows a clear view of the ocean, pier, and coastline.  There is no visible fog obscuring distant objects. A slight haze might be present on the horizon, but it's not significant enough to be classified as fog.","10000+","[""Clear"", ""Slight Haze""]","success","","gs://karlcam-fog-data/images/pacifica-pier_20250828_221701.jpg","2025-08-28T22:17:08.039512Z"
"6","4","fogcam","2025-08-28T22:17:08.635305Z","fogcam_20250828_221708.jpg","0","Clear","1","The image shows a clear blue sky with excellent visibility.  There are no visual indicators of fog such as reduced visibility, hazy conditions, or a milky appearance to the air.  Objects are clearly visible at a distance.",">10000","[""clear"", ""sunny""]","success","","gs://karlcam-fog-data/images/fogcam_20250828_221708.jpg","2025-08-28T22:17:14.54237Z"
"7","4","montara-mountain","2025-08-28T22:17:15.016558Z","montara-mountain_20250828_221715.jpg","0","Clear","1","The sky is clear and blue, with excellent visibility to distant mountains.  There are no visual indicators of fog, haze, or reduced visibility.",">10000","[""Clear"", ""Sunny""]","success","","gs://karlcam-fog-data/images/montara-mountain_20250828_221715.jpg","2025-08-28T22:17:21.918801Z"
"8","5","caltrans-i80-us101","2025-08-28T22:21:35.51902Z","caltrans-i80-us101_20250828_222135.jpg","0","Clear","1","The image shows excellent visibility.  There is no haze, mist, or reduction in visibility that would indicate the presence of fog.  Background details are sharp and clearly visible.",">10000","[""Clear""]","success","","gs://karlcam-fog-data/images/caltrans-i80-us101_20250828_222135.jpg","2025-08-28T22:21:39.141862Z"
"9","5","marina-district","2025-08-28T22:21:39.474366Z","marina-district_20250828_222139.jpg","5","Clear","0.95","The image shows a clear view of a container ship and the background hills.  There is no visible haze or reduction in visibility that would indicate fog. The sky is also clear.","10000+","[""Clear""]","success","","gs://karlcam-fog-data/images/marina-district_20250828_222139.jpg","2025-08-28T22:21:42.427429Z"
"10","5","pacifica-pier","2025-08-28T22:21:42.838642Z","pacifica-pier_20250828_222142.jpg","0","Clear","1","The image shows a clear sky with good visibility.  The horizon is easily visible, and there is no haze or reduction in clarity observed in the atmosphere. The ocean and distant pier are clearly defined.",">10000","[""Clear"", ""Sunny""]","success","","gs://karlcam-fog-data/images/pacifica-pier_20250828_222142.jpg","2025-08-28T22:21:44.917132Z"
"11","5","fogcam","2025-08-28T22:21:45.940152Z","fogcam_20250828_222145.jpg","5","Clear","0.95","The image shows a clear view of buildings and trees across a relatively large distance.  There is no noticeable haze or reduction in visibility that would indicate fog. The sky is clear and bright.","Greater than 10000 meters","[""Clear"", ""Sunny""]","success","","gs://karlcam-fog-data/images/fogcam_20250828_222145.jpg","2025-08-28T22:21:48.183648Z"
"12","5","montara-mountain","2025-08-28T22:21:48.846759Z","montara-mountain_20250828_222148.jpg","0","Clear","1","The image shows a clear blue sky with excellent visibility.  Mountains and buildings are clearly visible in the distance. There are no visual indicators of fog.",">10000","[""clear"", ""sunny""]","success","","gs://karlcam-fog-data/images/montara-mountain_20250828_222148.jpg","2025-08-28T22:21:51.827452Z"
"13","6","caltrans-i80-us101","2025-08-28T22:31:03.822108Z","caltrans-i80-us101_20250828_223103.jpg","0","Clear","1","The image shows excellent visibility.  There are no signs of fog or reduced visibility. Buildings and vehicles are clearly visible at a considerable distance.",">10000","[""Clear""]","success","","gs://karlcam-fog-data/images/caltrans-i80-us101_20250828_223103.jpg","2025-08-28T22:31:23.427243Z"
"14","6","marina-district","2025-08-28T22:31:23.741496Z","marina-district_20250828_223123.jpg","5","Clear","0.95","The image shows a clear view of the distant hills and water.  There is no visible haze or reduction in visibility that would indicate fog. The sky is clear and the colors are relatively saturated, suggesting good visibility.","10000+","[""Clear"", ""Slight wind""]","success","","gs://karlcam-fog-data/images/marina-district_20250828_223123.jpg","2025-08-28T22:31:25.966264Z"
"15","6","pacifica-pier","2025-08-28T22:31:26.387929Z","pacifica-pier_20250828_223126.jpg","0","Clear","1","The image shows a clear sky with excellent visibility.  The horizon is sharply defined, and distant objects like the pier are clearly visible. There is no haze or reduction in clarity.",">10000","[""clear"", ""sunny""]","success","","gs://karlcam-fog-data/images/pacifica-pier_20250828_223126.jpg","2025-08-28T22:31:28.667093Z"
